filename,objectid,digital_collection,title,description,date,type,rights,format,link,pubtype,pubtype-full,rightsstatement,source,number,language,creator,subject,subject-lcsh,publisher,cdmid,old-objectid
uiext_b03.pdf,uiext_b03,UI Extension Publications,Measurement of irrigation water,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 003, 1912",1912-05-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13229,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),3,eng,"Bark, Don H.",irrigation water; measurement,Irrigation water--Idaho--Measurement; Crops and water--Idaho--Measurement,University of Idaho. Agricultural Extension Service,13229,uiext13229
uiext_b05.pdf,uiext_b05,UI Extension Publications,Hog cholera in Idaho,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 005, 1913.",1913-12-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13246,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),5,eng,"Nicholson, J.F.; Hahner, A.R.; Coffman, J.H.",hog cholera,Swine--Diseases--Idaho,University of Idaho. Agricultural Extension Service,13246,uiext13246
uiext_b07.pdf,uiext_b07,UI Extension Publications,Alfalfa weevil,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 007, 1913.",1913-12-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13271,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),7,eng,"Parks, T.H.",Hypera postica; insect control,Alfalfa--Diseases and pests; Alfalfa--Diseases and pests--Control,University of Idaho. Agricultural Extension Service,13271,uiext13271
uiext_b08.pdf,uiext_b08,UI Extension Publications,Directory of the Idaho breeders of pure-bred live stock,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 008, 1914.",1914-11-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13284,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),8,eng,"Iddings, Edward J.",livestock breeding,Livestock--Breeding--Directories,University of Idaho. Agricultural Extension Service,13284,uiext13284
uiext_b10.pdf,uiext_b10,UI Extension Publications,Second year cooking bulletin: batters and doughs,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 010, 1915.",1915-03-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13297,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),10,eng,"Kelly, Amy",batters; cooking; dough,Cooking (Bread),University of Idaho. Agricultural Extension Service,13297,uiext13297
uiext_b12.pdf,uiext_b12,UI Extension Publications,"Instructions for canning fruits and vegetables, Boys and girls' clubs, Mother-daughter home canning clubs","University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 012, 1915.",1915-06-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13310,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),12,eng,"Potter, T.W.",canning; fruits; home food preservation; organizations; vegetables,Canning and preserving,University of Idaho. Agricultural Extension Service,13310,uiext13310
uiext_b14.pdf,uiext_b14,UI Extension Publications,"First year cooking bulletin, bread, Idaho cooking clubs","University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 014, 1915.",1915-10-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13327,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),14,eng,,4-H clubs; breadmaking; cooking,Cooking (Bread),University of Idaho. Agricultural Extension Service,13327,uiext13327
uiext_b15.pdf,uiext_b15,UI Extension Publications,Boys' and girls' agricultural and home clubs for Idaho,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 015, 1916.",1916-01-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13344,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),15,eng,"Center, O.D.",agricultural education; youth organizations,"Agriculture--Idaho--Societies, etc.; Agricultural education--Idaho",University of Idaho. Agricultural Extension Service,13344,uiext13344
uiext_b16.pdf,uiext_b16,UI Extension Publications,Meats,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 016, 1916.",1916-04-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13369,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),16,eng,"Kelly, Amy; Hays, Elizabeth",meat,Meat cutting; Meat--Preservation,University of Idaho. Agricultural Extension Service,13369,uiext13369
uiext_b17.pdf,uiext_b17,UI Extension Publications,"Second year sewing bulletin, Idaho sewing clubs","University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 017, 1916.",1916-10-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13386,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),17,eng,"Sweet, Margaret; Leiby, Cora Irene",sewing,Dressmaking; Sewing,University of Idaho. Agricultural Extension Service,13386,uiext13386
uiext_b19.pdf,uiext_b19,UI Extension Publications,Save the meat,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 019, 1918.",1918-01-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13399,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),19,eng,"Kelly, Amy; Erwin, Ada",home food preparation; meat substitutes,Cooking (Vegetables); Cooking (Legumes),University of Idaho. Agricultural Extension Service,13399,uiext13399
uiext_b20.pdf,uiext_b20,UI Extension Publications,Farm sewage disposal for Idaho conditions,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 020, 1918.",1918-02-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13412,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),20,eng,"Wooley, John C.",agricultural wastes,"Farm layout; Water-supply, Rural--Idaho; Sewage disposal, Rural--Idaho",University of Idaho. Agricultural Extension Service,13412,uiext13412
uiext_b22.pdf,uiext_b22,UI Extension Publications,Grading the Idaho wheat crop,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 022, 1918.",1918-09-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13441,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),22,eng,"Leth, R.J.",food grades; wheat,Wheat--Idaho,University of Idaho. Agricultural Extension Service,13441,uiext13441
uiext_b23.pdf,uiext_b23,UI Extension Publications,Measuring hay in ricks or stacks,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 023, 1918.",1918-10-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13454,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),23,eng,"McClure, H.B.; Spillman, W.J.",hay; measurement,Hay--Harvesting; Hay--Handling,University of Idaho. Agricultural Extension Service,13454,uiext13454
uiext_b25.pdf,uiext_b25,UI Extension Publications,"Sugar beet growing by boys' and girls' clubs, state of Idaho","University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 025, 1919.",1919-02-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13463,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),25,eng,"Jones, James W.",sugar beet,Sugar beet industry--Idaho,University of Idaho. Agricultural Extension Service,13463,uiext13463
uiext_b26.pdf,uiext_b26,UI Extension Publications,Clothing selection for women,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 026, 1919.",1919-02-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13477,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),26,eng,"Elwell, Georgia Belle",clothing; women,Dressmaking; Costume design,University of Idaho. Agricultural Extension Service,13477,uiext13477
uiext_b27.pdf,uiext_b27,UI Extension Publications,Selection of clothing for children,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 027, 1919.",1919-03-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13494,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),27,eng,"Elwell, Georgia Belle",clothing,Dressmaking; Costume design,University of Idaho. Agricultural Extension Service,13494,uiext13494
uiext_b28.pdf,uiext_b28,UI Extension Publications,Rope and its uses on the farm,"University of Idaho, College of Agriculture, Extension Division, Extension bulletin No. 028, 1919.",1919-09-01,Text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ui_ep/id/13515,Extension bulletin,Extension bulletin (University of Idaho. College of Agriculture. Extension Division),https://creativecommons.org/publicdomain/mark/1.0/,Special Collections Idaho S 53 (Between E3 - E415),28,eng,"Niece, H.T.",ropes,Rope,University of Idaho. Agricultural Extension Service,13515,uiext13515
